Date,WellID,Oil_bbl,Gas_mcf,Water_bbl
2024-01-14,W004,112,1052,27
2024-01-14,W005,127,1109,84
2024-01-14,W006,141,777,76
2024-01-15,W001,295,274,86
2024-01-15,W002,178,634,91
2024-01-15,W003,251,302,73
2024-01-15,W004,293,621,86
2024-01-15,W005,114,903,70
2024-01-15,W006,306,963,116
2024-01-16,W001,180,937,111
2024-01-16,W002,210,1005,27
2024-01-16,W003,336,505,54
2024-01-16,W004,84,297,115
2024-01-16,W005,297,1049,107
2024-01-16,W006,334,997,97
2024-01-17,W001,286,534,51
2024-01-17,W002,94,1058,139
2024-01-17,W003,121,634,65
2024-01-17,W004,258,646,74
2024-01-17,W005,142,1193,26
2024-01-17,W006,310,507,93
2024-01-18,W001,320,448,26
2024-01-18,W002,131,365,104
2024-01-18,W003,175,680,131
2024-01-18,W004,301,1183,144
2024-01-18,W005,310,534,55
2024-01-18,W006,316,741,48
2024-01-19,W001,222,958,101
2024-01-19,W002,250,305,21
2024-01-19,W003,108,762,148
2024-01-19,W004,115,280,66
2024-01-19,W005,92,332,30
2024-01-19,W006,239,996,149
2024-01-20,W001,266,1099,138
2024-01-20,W002,322,337,39
2024-01-20,W003,165,383,24
2024-01-20,W004,145,600,56
2024-01-20,W005,249,529,72
2024-01-20,W006,124,984,118
2024-01-21,W001,141,707,105
2024-01-21,W002,213,1051,127
2024-01-21,W003,107,1183,43
2024-01-21,W004,187,268,100
2024-01-21,W005,123,745,139
2024-01-21,W006,207,973,78
2024-01-22,W001,310,252,147
2024-01-22,W002,269,649,133
2024-01-22,W003,304,404,134
2024-01-22,W004,200,325,33
2024-01-22,W005,195,946,28
2024-01-22,W006,312,242,59
2024-01-23,W001,338,951,44
2024-01-23,W002,277,1170,122
2024-01-23,W003,216,1082,41
2024-01-23,W004,244,310,23
2024-01-23,W005,304,960,48
2024-01-23,W006,313,862,128
2024-01-24,W001,251,382,117
2024-01-24,W002,231,1047,56
2024-01-24,W003,239,294,94
2024-01-24,W004,175,1170,89
2024-01-24,W005,312,573,147
2024-01-24,W006,259,1111,104
2024-01-25,W001,192,719,61
2024-01-25,W002,131,1099,119
2024-01-25,W003,347,559,60
2024-01-25,W004,192,1099,53
2024-01-25,W005,180,895,36
2024-01-25,W006,192,480,141
2024-01-26,W001,160,394,95
2024-01-26,W002,266,1063,106
2024-01-26,W003,192,394,136
2024-01-26,W004,81,866,125
2024-01-26,W005,209,292,105
2024-01-26,W006,299,871,46
2024-01-27,W001,133,1145,76
2024-01-27,W002,303,260,50
2024-01-27,W003,304,833,117
2024-01-27,W004,205,250,31
2024-01-27,W005,209,602,72
2024-01-27,W006,132,988,141
2024-01-28,W001,251,204,65
2024-01-28,W002,297,665,83
2024-01-28,W003,239,803,149
2024-01-28,W004,277,881,73
2024-01-28,W005,326,1028,126
2024-01-28,W006,282,733,70
2024-01-29,W001,263,604,55
2024-01-29,W002,202,1037,134
2024-01-29,W003,334,712,45
2024-01-29,W004,177,844,48
2024-01-29,W005,277,432,30
2024-01-29,W006,319,723,59
2024-01-30,W001,223,545,30
2024-01-30,W002,176,245,132
2024-01-30,W003,280,745,58
2024-01-30,W004,203,1144,73
2024-01-30,W005,266,277,117
2024-01-30,W006,338,929,74
2024-01-31,W001,227,1012,130
2024-01-31,W002,331,1122,88
2024-01-31,W003,226,272,75
2024-01-31,W004,227,993,52
2024-01-31,W005,278,448,55
2024-01-31,W006,207,246,100
2024-02-01,W001,118,320,128
2024-02-01,W002,208,413,92
2024-02-01,W003,346,438,59
2024-02-01,W004,230,255,36
2024-02-01,W005,178,549,148
2024-02-01,W006,342,306,80
2024-02-02,W001,331,1030,123
2024-02-02,W002,223,247,61
2024-02-02,W003,191,772,44
2024-02-02,W004,139,536,58
2024-02-02,W005,81,225,54
2024-02-02,W006,333,1003,127
2024-02-03,W001,219,456,121
2024-02-03,W002,116,207,117
2024-02-03,W003,239,824,31
2024-02-03,W004,88,1066,38
2024-02-03,W005,312,452,120
2024-02-03,W006,178,891,63
2024-02-04,W001,226,918,68
2024-02-04,W002,287,502,36
2024-02-04,W003,210,838,93
2024-02-04,W004,231,255,76
2024-02-04,W005,133,925,74
2024-02-04,W006,199,725,66
2024-02-05,W001,240,673,31
2024-02-05,W002,195,227,81
2024-02-05,W003,154,1182,99
2024-02-05,W004,192,277,102
2024-02-05,W005,183,415,27
2024-02-05,W006,333,585,100
2024-02-06,W001,306,564,137
2024-02-06,W002,191,865,44
2024-02-06,W003,178,725,108
2024-02-06,W004,232,898,31
2024-02-06,W005,273,511,78
2024-02-06,W006,242,1082,128
2024-02-07,W001,287,206,45
2024-02-07,W002,248,202,66
2024-02-07,W003,240,822,51
2024-02-07,W004,147,1118,29
2024-02-07,W005,214,949,35
2024-02-07,W006,274,562,45
2024-02-08,W001,207,950,105
2024-02-08,W002,112,707,33
2024-02-08,W003,255,473,98
2024-02-08,W004,101,705,136
2024-02-08,W005,317,1005,26
2024-02-08,W006,237,938,134
2024-02-09,W001,117,1082,91
2024-02-09,W002,309,214,78
2024-02-09,W003,130,391,101
2024-02-09,W004,343,1184,135
2024-02-09,W005,106,830,122
2024-02-09,W006,305,684,36
2024-02-10,W001,176,227,33
2024-02-10,W002,226,913,127
2024-02-10,W003,83,238,64
2024-02-10,W004,114,1152,117
2024-02-10,W005,271,472,56
2024-02-10,W006,128,430,127
2024-02-11,W001,96,285,58
2024-02-11,W002,251,673,34
2024-02-11,W003,299,325,139
2024-02-11,W004,237,1011,23
2024-02-11,W005,125,736,112
2024-02-11,W006,85,344,35
2024-02-12,W001,178,724,127
2024-02-12,W002,312,411,145
2024-02-12,W003,116,224,74
2024-02-12,W004,260,779,53
2024-02-12,W005,174,593,32
2024-02-12,W006,178,266,37
2024-02-13,W001,267,432,115
2024-02-13,W002,195,308,142
2024-02-13,W003,270,345,58
2024-02-13,W004,332,310,65
2024-02-13,W005,240,427,48
2024-02-13,W006,335,310,81
2024-02-14,W001,207,669,35
2024-02-14,W002,97,233,140
2024-02-14,W003,302,822,29
2024-02-14,W004,133,975,122
2024-02-14,W005,137,1135,103
2024-02-14,W006,253,568,84
2024-02-15,W001,193,947,22
2024-02-15,W002,230,794,139
2024-02-15,W003,206,753,87
2024-02-15,W004,234,624,56
2024-02-15,W005,183,812,92
2024-02-15,W006,325,717,68
2024-02-16,W001,255,891,140
2024-02-16,W002,118,481,107
2024-02-16,W003,249,519,56
2024-02-16,W004,326,937,80
2024-02-16,W005,105,642,143
2024-02-16,W006,92,1151,58
2024-02-17,W001,115,514,82
2024-02-17,W002,252,1076,65
2024-02-17,W003,99,1165,107
2024-02-17,W004,343,940,30
2024-02-17,W005,221,576,81
2024-02-17,W006,222,488,96
2024-02-18,W001,171,636,71
2024-02-18,W002,294,861,23
2024-02-18,W003,130,476,78
2024-02-18,W004,232,909,91
2024-02-18,W005,265,781,112
2024-02-18,W006,142,702,82
2024-02-19,W001,269,823,73
2024-02-19,W002,204,715,136
2024-02-19,W003,229,549,129
2024-02-19,W004,137,1042,93
2024-02-19,W005,259,645,126
2024-02-19,W006,249,1029,76
2024-02-20,W001,133,549,22
2024-02-20,W002,180,806,139
2024-02-20,W003,343,863,25
2024-02-20,W004,132,1022,24
2024-02-20,W005,139,336,24
2024-02-20,W006,187,958,73
2024-02-21,W001,84,1098,66
2024-02-21,W002,182,442,28
2024-02-21,W003,275,742,118
2024-02-21,W004,341,239,39
2024-02-21,W005,126,428,141
2024-02-21,W006,223,747,80
2024-02-22,W001,348,1119,142
2024-02-22,W002,203,422,101
2024-02-22,W003,185,205,81
2024-02-22,W004,237,521,22
2024-02-22,W005,226,667,32
2024-02-22,W006,224,931,139
2024-02-23,W001,199,274,144
2024-02-23,W002,171,203,108
2024-02-23,W003,137,1046,92
2024-02-23,W004,308,845,87
2024-02-23,W005,196,317,120
2024-02-23,W006,206,1080,117
2024-02-24,W001,208,805,30
2024-02-24,W002,137,703,124
2024-02-24,W003,201,1197,86
2024-02-24,W004,80,1146,142
2024-02-24,W005,318,773,48
2024-02-24,W006,175,640,95
2024-02-25,W001,205,393,28
2024-02-25,W002,197,1046,59
2024-02-25,W003,127,914,44
2024-02-25,W004,168,591,24
2024-02-25,W005,316,225,143
2024-02-25,W006,268,634,57
2024-02-26,W001,271,372,91
2024-02-26,W002,148,499,109
2024-02-26,W003,326,844,56
2024-02-26,W004,155,525,79
2024-02-26,W005,233,609,47
2024-02-26,W006,223,317,100
2024-02-27,W001,165,1035,133
2024-02-27,W002,264,986,59
2024-02-27,W003,299,923,64
2024-02-27,W004,148,424,81
2024-02-27,W005,126,731,112
2024-02-27,W006,173,312,134
2024-02-28,W001,317,339,86
2024-02-28,W002,283,758,75
2024-02-28,W003,297,200,59
2024-02-28,W004,118,289,117
2024-02-28,W005,179,853,59
2024-02-28,W006,333,519,110
2024-02-29,W001,301,749,52
2024-02-29,W002,102,1004,25
2024-02-29,W003,329,1093,99
2024-02-29,W004,89,338,111
2024-02-29,W005,325,710,116
2024-02-29,W006,179,1067,78
2024-03-01,W001,259,1044,78
2024-03-01,W002,302,458,67
2024-03-01,W003,329,872,32
2024-03-01,W004,226,1101,126
2024-03-01,W005,175,889,64
2024-03-01,W006,336,209,108
2024-03-02,W001,83,460,119
2024-03-02,W002,95,1118,26
2024-03-02,W003,326,849,64
2024-03-02,W004,337,371,77
2024-03-02,W005,239,1097,50
2024-03-02,W006,231,212,42
2024-03-03,W001,257,367,126
2024-03-03,W002,242,841,58
2024-03-03,W003,112,795,101
2024-03-03,W004,258,520,119
2024-03-03,W005,180,518,21
2024-03-03,W006,347,812,96
2024-03-04,W001,144,528,31
2024-03-04,W002,247,984,58
2024-03-04,W003,122,976,32
2024-03-04,W004,123,1170,65
2024-03-04,W005,91,1110,132
2024-03-04,W006,174,1119,36
2024-03-05,W001,332,749,123
2024-03-05,W002,321,618,117
2024-03-05,W003,114,805,107
2024-03-05,W004,294,294,128
2024-03-05,W005,169,1016,89
2024-03-05,W006,343,780,93
2024-03-06,W001,172,517,82
2024-03-06,W002,169,1155,79
2024-03-06,W003,194,435,98
2024-03-06,W004,184,1145,56
2024-03-06,W005,275,533,41
2024-03-06,W006,193,1084,115
2024-03-07,W001,154,575,87
2024-03-07,W002,296,658,36
2024-03-07,W003,328,336,31
2024-03-07,W004,243,1129,137
2024-03-07,W005,271,787,41
2024-03-07,W006,306,1194,139
2024-03-08,W001,256,746,69
2024-03-08,W002,178,712,33
2024-03-08,W003,115,495,48
2024-03-08,W004,175,519,144
2024-03-08,W005,231,1117,26
2024-03-08,W006,230,771,48
2024-03-09,W001,269,1031,52
2024-03-09,W002,303,548,130
2024-03-09,W003,116,1039,98
2024-03-09,W004,347,978,77
2024-03-09,W005,262,1072,45
2024-03-09,W006,92,428,48
2024-03-10,W001,296,469,23
2024-03-10,W002,141,1027,118
2024-03-10,W003,163,997,58
2024-03-10,W004,296,490,34
2024-03-10,W005,266,924,138
2024-03-10,W006,98,364,48
2024-03-11,W001,256,204,94
2024-03-11,W002,179,1050,135
2024-03-11,W003,312,578,51
2024-03-11,W004,155,277,149
2024-03-11,W005,344,609,103
2024-03-11,W006,285,773,41
2024-03-12,W001,302,331,46
2024-03-12,W002,131,800,100
2024-03-12,W003,223,948,145
2024-03-12,W004,148,241,111
2024-03-12,W005,178,288,40
2024-03-12,W006,104,601,66
2024-03-13,W001,132,495,120
2024-03-13,W002,230,1039,103
2024-03-13,W003,223,494,25
2024-03-13,W004,136,815,20
2024-03-13,W005,118,725,77
2024-03-13,W006,188,999,143
2024-03-14,W001,260,890,34
2024-03-14,W002,121,836,83
2024-03-14,W003,265,621,44
2024-03-14,W004,302,1064,43
2024-03-14,W005,201,222,31
2024-03-14,W006,212,774,37
2024-03-15,W001,242,342,34
2024-03-15,W002,294,1192,46
2024-03-15,W003,300,864,91
2024-03-15,W004,314,344,79
2024-03-15,W005,225,424,112
2024-03-15,W006,318,702,72
2024-03-16,W001,155,1161,27
2024-03-16,W002,88,1173,98
2024-03-16,W003,153,1020,46
2024-03-16,W004,332,815,69
2024-03-16,W005,309,303,112
2024-03-16,W006,86,1146,43
2024-03-17,W001,253,238,79
2024-03-17,W002,220,1146,141
2024-03-17,W003,247,397,65
2024-03-17,W004,249,845,34
2024-03-17,W005,201,778,36
2024-03-17,W006,273,590,145
2024-03-18,W001,84,378,103
2024-03-18,W002,108,1167,28
2024-03-18,W003,244,753,82
2024-03-18,W004,215,647,136
2024-03-18,W005,224,699,149
2024-03-18,W006,296,214,107
2024-03-19,W001,211,822,91
2024-03-19,W002,149,868,83
2024-03-19,W003,331,488,91
2024-03-19,W004,261,677,40
2024-03-19,W005,246,430,37
2024-03-19,W006,170,1122,83
2024-03-20,W001,281,619,101
2024-03-20,W002,98,356,129
2024-03-20,W003,118,749,114
2024-03-20,W004,205,640,51
2024-03-20,W005,252,296,30
2024-03-20,W006,220,1196,64
2024-03-21,W001,321,610,52
2024-03-21,W002,299,1150,121
2024-03-21,W003,205,488,30
2024-03-21,W004,137,453,107
2024-03-21,W005,227,395,60
2024-03-21,W006,80,797,95
2024-03-22,W001,269,1033,140
2024-03-22,W002,270,721,65
2024-03-22,W003,196,716,99
2024-03-22,W004,213,834,73
2024-03-22,W005,137,1041,105
2024-03-22,W006,123,1064,111
2024-03-23,W001,252,317,116
2024-03-23,W002,239,1005,21
2024-03-23,W003,252,1108,52
2024-03-23,W004,228,358,96
2024-03-23,W005,159,1014,135
2024-03-23,W006,292,427,122
2024-03-24,W001,282,1076,122
2024-03-24,W002,331,415,109
2024-03-24,W003,308,1147,141
2024-03-24,W004,243,895,125
2024-03-24,W005,306,214,138
2024-03-24,W006,226,356,68
2024-03-25,W001,99,847,123
2024-03-25,W002,126,460,80
2024-03-25,W003,312,356,142
2024-03-25,W004,93,246,28
2024-03-25,W005,222,523,25
2024-03-25,W006,80,1043,92
2024-03-26,W001,133,884,122
2024-03-26,W002,338,329,60
2024-03-26,W003,223,610,133
2024-03-26,W004,91,294,27
2024-03-26,W005,303,826,91
2024-03-26,W006,235,954,111
2024-03-27,W001,87,1131,81
2024-03-27,W002,201,491,103
2024-03-27,W003,243,993,81
2024-03-27,W004,169,1010,130
2024-03-27,W005,215,482,146
2024-03-27,W006,265,268,26
2024-03-28,W001,257,859,103
2024-03-28,W002,107,210,77
2024-03-28,W003,299,453,41
2024-03-28,W004,120,1041,146
2024-03-28,W005,307,1071,22
2024-03-28,W006,271,749,146
2024-03-29,W001,224,333,60
2024-03-29,W002,280,911,125
2024-03-29,W003,291,222,33
2024-03-29,W004,299,1014,31
2024-03-29,W005,319,545,106
2024-03-29,W006,125,501,31
2024-03-30,W001,114,562,44
2024-03-30,W002,332,595,64
2024-03-30,W003,161,417,141
2024-03-30,W004,335,340,74
2024-03-30,W005,276,815,119
2024-03-30,W006,89,1157,138
2024-03-31,W001,321,409,72
2024-03-31,W002,330,1184,51
2024-03-31,W003,84,1192,70
2024-03-31,W004,198,822,63
2024-03-31,W005,144,815,101
2024-03-31,W006,225,1027,56
